drzava,tur7,pren7,tur8,pren8,tur9,pren9,tur10,pren10,tur11,pren11,tur12,pren12,tur13,pren13,tur14,pren14,tur15,pren15,tur16,pren16,tur17,pren17
Drzava potovanja  - SKUPAJ,190865,948247,176769,934607,174370,949180,140535,818199,124277,700907,140786,906438,145617,855528,153855,963641,175469,612719,158601,576064,211229,748489
Avstrija,28699,167794,27553,160403,27575,160271,8794,38663,9955,47295,13038,53195,12339,50823,12752,44425,10582,31227,12379,36231,12695,33947
Belgija,6663,42674,6251,43005,6531,46252,6802,44757,6217,40994,8978,102533,8221,55029,6939,46265,4851,24276,5931,29344,7486,36288
Bolgarija,69,192,1632,1828,585,756,61,252,137,363,69,139,48,202,44,115,47,134,91,250,454,948
Bosna in Hercegovina,285,1267,287,877,79,343,163,761,144,749,241,1232,157,834,846,7162,447,1468,508,1757,352,1213
Ciper,126,880,133,729,4,8,0,0,4,12,12,39,5,31,6,12,11,33,4,26,28,82
Ceska republika,1571,6444,582,2326,542,1662,702,2602,486,2330,644,3089,395,1652,1477,8774,3130,17000,2886,16628,5208,26312
Crna gora,47,174,75,265,30,138,133,419,134,410,136,413,8,16,109,436,188,547,116,418,931,3712
Danska,551,2179,627,2580,254,1100,40,117,332,1663,1028,4970,268,1330,186,899,169,823,331,1489,374,1546
Estonia,92,485,62,277,85,428,72,231,17,125,28,211,41,203,58,238,84,337,26,140,188,329
Finska,3391,12366,4275,18900,1834,7730,1651,5031,937,4101,958,4273,1665,8262,1424,9775,839,3842,954,4090,606,2038
Francija,14879,87335,10622,64425,12846,81398,13513,87598,1123,4724,1314,2782,2009,6405,662,2078,3040,9331,5226,20734,6843,25743
Grcija,97,484,179,581,317,1129,315,2120,108,313,76,168,100,173,2,5,199,721,172,522,348,1906
Hrvaska,4311,17670,2288,12564,2025,11291,1166,5309,1339,6046,2192,8465,1802,7489,1547,7429,1950,8139,1947,7859,4878,18031
Irska,824,5068,1848,9932,1370,9152,1002,6616,112,462,781,4149,140,373,1071,7434,10413,25722,1049,6461,373,1460
Islandija,1011,4294,46,263,0,0,114,342,166,654,249,1276,476,2388,503,3538,8,26,805,3845,660,3296
Italija,22393,64011,15485,39275,19646,50020,16906,63478,12479,43479,15161,52543,15194,59980,16386,55955,20081,41667,22641,45201,21487,46889
Latvija,127,279,85,163,11,35,17,71,119,290,8,29,22,66,18,94,35,131,159,731,28,138
Litva,137,726,60,166,52,220,12,94,15,81,44,152,15,45,35,234,209,607,9,27,139,439
Luksemburg,33,64,56,228,3,21,5,8,1,4,32,95,5,21,2,4,10,49,3,16,14,29
Madzarska,2830,9870,1490,6972,1356,5826,1203,5210,1411,6337,1188,5355,987,4738,2304,11991,2333,8891,1484,5787,3369,13078
Makedonija,62,381,63,233,9,30,174,523,34,136,24,84,25,125,170,1479,84,734,270,1892,292,744
Malta,570,3990,36,179,101,702,5,5,0,0,256,1258,531,2865,316,2178,227,500,243,506,212,902
Nemcija,29235,115256,26337,111736,23536,112134,11842,58681,13993,63211,15697,74166,18947,90882,14472,63596,14038,53749,12101,42736,17044,72248
Nizozemska,4082,23506,2739,11996,2893,18722,2304,15184,4521,30640,4089,25997,4110,25532,4405,29675,3880,19093,5116,19533,5995,25808
Norveska,385,1269,1086,5369,440,2571,384,1395,114,538,120,510,89,479,36,193,518,3424,210,978,274,1353
Poljska,707,2970,620,2387,440,1657,594,2312,551,2581,540,2456,340,1527,974,6379,9933,20682,794,2892,2574,8903
Portugalska,278,2199,159,615,71,369,27,85,102,293,359,2116,16,68,2088,10616,2196,4644,26,97,463,2931
Romunija,161,794,603,1545,443,1030,122,422,394,1654,75,287,22,192,73,161,340,1115,119,343,234,1206
Ruska federacija,8742,80494,7720,70364,11300,106606,16419,138902,14212,131985,21080,210658,18171,155621,13817,119530,9654,73843,4826,36969,6048,56812
Slovaska,613,3050,504,2112,140,579,187,775,166,630,312,932,173,451,267,1157,188,830,279,1590,465,1543
Srbija,646,2176,1039,2604,783,2490,557,2034,568,2226,765,3363,1180,5104,872,4670,953,4430,1203,5967,911,4932
Spanija,2066,10285,2005,8621,10352,46707,5740,36761,7234,48942,4727,28705,4344,29318,5557,36796,5634,12901,5730,15538,6724,21730
Svedska,1435,8038,1576,7386,1227,4692,521,1704,423,1748,588,2529,261,1258,299,1208,529,1893,190,925,479,1983
Svica,3751,20698,1920,8122,2799,14641,1443,6688,1008,4064,1417,5535,1153,4525,1209,8017,1120,5043,771,1279,1174,2503
Turcija,220,1030,885,2367,750,2220,377,2093,518,1371,192,488,302,1149,459,1826,345,844,432,2649,456,1541
Ukrjina,2284,13082,2682,19922,1377,11910,1939,13043,7414,29445,3490,26539,5677,43959,3753,29492,3013,19551,3075,14370,2968,14293
Zdruzeno kraljestvo,26373,111781,18572,154583,18921,136915,14659,122644,12538,80016,10861,81856,12087,76095,13061,112819,13156,85044,11559,74468,16380,95892
Druge neomenjene evropske drzave,778,3109,781,2567,175,597,227,598,890,7304,1610,14023,3083,19495,3480,17044,3676,8241,9430,21640,8070,18023
Juzna Afrika,3,14,10,28,52,248,151,564,36,110,209,827,282,1506,239,1344,119,329,36,254,252,967
Druge afrizke drzave,235,1636,22,124,33,129,85,579,4,20,9,19,5,13,4,34,182,706,153,1037,78,275
